Medium_Key,Report_Medium
2728,AFFILIATE
2729,Other
2730,EMAIL
2731,Other
2732,EMAIL
2733,SOCIAL
2734,EMAIL
2735,Other
2736,AFFILIATE
2737,Other
2738,Other
2739,Other
2740,EMAIL
2741,Other
2742,EMAIL
2743,Other
2744,EMAIL
2745,AFFILIATE
2746,Other
2747,EMAIL
2748,Other
2749,Other
2750,EMAIL
2751,EMAIL
2752,Other
2753,EMAIL
2754,AFFILIATE
2755,EMAIL
2756,Other
2757,EMAIL
2758,EMAIL
2759,Other
2760,EMAIL
2761,EMAIL
2762,Other
2763,Other
2764,EMAIL
2765,AFFILIATE
2766,EMAIL
2767,Other
2768,EMAIL
2769,Other
2770,EMAIL
2771,EMAIL
2772,AFFILIATE
2773,EMAIL
2774,Other
2775,AFFILIATE
2776,EMAIL
2777,Other
2778,EMAIL
2779,Other
2780,EMAIL
2781,EMAIL
2782,Other
2783,AFFILIATE
2784,Other
2785,EMAIL
2786,AFFILIATE
2787,AFFILIATE
2788,EMAIL
2789,Other
2790,Other
2791,AFFILIATE
2792,EMAIL
2793,Other
2794,EMAIL
2795,EMAIL
2796,EMAIL
2797,EMAIL
2798,Other
2799,Other
2800,Other
2801,EMAIL
2802,PPC
2803,Other
2804,SOCIAL
2805,Other
2806,SOCIAL
2807,Other
2808,Other
2809,EMAIL
2810,EMAIL
2811,SOCIAL
2812,EMAIL
2813,Other
2814,Other
2815,EMAIL
2816,Other
2817,EMAIL
2818,Other
2819,EMAIL
2820,EMAIL
2821,Other
2822,Other
2823,EMAIL
2824,EMAIL
2825,EMAIL
2826,Other
2827,Other
2828,EMAIL
2829,Other
2830,Other
2831,AFFILIATE
2832,EMAIL
2833,Other
2834,Other
2835,EMAIL
2836,EMAIL
2837,EMAIL
2838,Other
2839,Other
2840,EMAIL
2841,EMAIL
2842,Other
2843,Other
2844,AFFILIATE
2845,EMAIL
2846,EMAIL
2847,Other
2848,Other
2849,Other
2850,EMAIL
2851,AFFILIATE
2852,Other
2853,EMAIL
2854,Other
2855,Other
2856,EMAIL
2857,Other
2858,EMAIL
2859,EMAIL
2860,Other
2861,AFFILIATE
2862,Other
2863,EMAIL
2864,Other
2865,EMAIL
2866,AFFILIATE
2867,Other
2868,EMAIL
2869,EMAIL
2870,EMAIL
2871,REFERRAL
2872,EMAIL
2873,EMAIL
2874,Other
2875,Other
2876,EMAIL
2877,Other
2878,Other
2879,Other
2880,PPC
2881,Other
2882,Other
2883,Other
2884,Other
2885,EMAIL
2886,EMAIL
2887,EMAIL
2888,Other
2889,Other
2890,EMAIL
2891,Other
2892,EMAIL
2893,Other
2894,EMAIL
2895,Other
2896,EMAIL
2897,Other
2898,EMAIL
2899,EMAIL
2900,Other
